op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
D3,2,5,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,SHR,,,0,0,1,1,1,r/m16/32,CL reg,,Evqp,CL,,,o..sz.pc,o..sz.pc,.....a..,,,Shift
D3,2,6,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,SETMOC,,,0,0,1,1,1,r/m16/32,CL reg,,Evqp,CL,,,o..szapc,........,o..szapc,,,SETMOC: Undocumented instruction
D3,2,7,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,SAR,,,0,0,1,1,1,r/m16/32,CL reg,,Evqp,CL,,,o..sz.pc,o..sz.pc,.....a..,,,Shift
D4,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,AAM,,,0,0,0,0,0,imm8,,,AL,AH,Ib,,o..szapc,...sz.p.,o....a.c,o....a.c,,ASCII Adjust AX After Multiply
D5,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,AAD,,,0,0,0,0,0,imm8,,,AL,AH,Ib,,...sz.p.,...sz.p.,o....a.c,,,ASCII Adjust AX Before Division
D6,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,SALC,,,0,0,0,0,0,,,,AL,,,,,,,,,Undocumented: Set Carry flag in AL
D7,,,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,,XLAT,,XLATB,0,0,0,0,0,, ,,AL,BBb,,,,,,,,Table Look-up Translation
D8,,0,,0,0,0,0,0,1,0,,,,,,,,,,,FADD,,,0,0,1,1,1,ST(0),STi/m32real,,,,,,,,,,,"	Add"
D8,,1,,0,0,0,0,0,1,0,,,,,,,,,,,FMUL,,,0,0,1,1,1,ST(0),STi/m32real,,,,,,,,,,,"	Multiply"
D8,,2,,0,0,0,0,0,1,0,,,,,,,,,,,FCOM,,,0,0,1,1,1,ST(0),STi/m32real,,,,,,,,,,,"	Compare Real"
D8,,3,,0,0,0,0,0,1,0,,,,,,,,,,,FCOMP,,,0,0,1,1,1,ST(0),STi/m32real,,,,,,,,,,,"	Compare Real and Pop"
D8,,4,,0,0,0,0,0,1,0,,,,,,,,,,,FSUB,,,0,0,1,1,1,ST(0),STi/m32real,,,,,,,,,,,"	Subtract"
D8,,5,,0,0,0,0,0,1,0,,,,,,,,,,,FUSBR,,,0,0,1,1,1,ST(0),STi/m32real,,,,,,,,,,,"	Reverse Subtract"
D8,,6,,0,0,0,0,0,1,0,,,,,,,,,,,FDIV,,,0,0,1,1,1,ST(0),STi/m32real,,,,,,,,,,,"	Divide"
D8,,7,,0,0,0,0,0,1,0,,,,,,,,,,,FDIVR,,,0,0,1,1,1,ST(0),STi/m32real,,,,,,,,,,,"	Reverse Divide"
D9,,0,,0,0,0,0,0,1,0,,,,,,,,,,,FLD,,,0,0,1,0,1,ST(0),STi/m32real,,,,,,,,,,,"	Load Floating Point Value"
D9,,1,,0,0,0,0,0,1,0,,,,,,,,,,,FCXH,,,0,0,0,0,1,ST(0),"	STi",,,,,,,,,,,"	Exchange Register Contents"
D9,,2,,0,0,0,0,0,1,0,,,,,,,,,,,FST,,,0,0,1,0,1,"	m32real",ST(0),,,,,,,,,,,Store Floating Point Value
D9,,2,D0,0,0,0,0,0,1,0,,,,,,,,,,,FNOP,,,0,0,1,1,1,"	m32real",,,,,,,,,,,,No Operation
D9,,3,,0,0,0,0,0,1,0,,,,,,,,,,,FSTP,,,0,0,1,0,1,STi/m32real,,,,,,,,,,,,Store Floating Point Value and Pop
D9,,4,,0,0,0,0,0,1,0,,,,,,,,,,,FLDENV,,,0,0,?,0,1,m14/28,,,,,,,,,,,,Load x87 FPU Environment
D9,,4,E0,0,0,0,0,0,1,0,,,,,,,,,,,"			FCHS",,,0,0,0,1,1,ST(0),,,,,,,,,,,,
D9,,4,E1,0,0,0,0,0,1,0,,,,,,,,,,,FABS,,,0,0,0,1,1,ST(0),,,,,,,,,,,,
D9,,4,E2,0,0,0,0,0,1,0,,,,,,,,,,,FTST,,,0,0,0,1,1,ST(0),,,,,,,,,,,,
D9,,4,E3,0,0,0,0,0,1,0,,,,,,,,,,,"	FXAM",,,0,0,0,1,1,ST(0),,,,,,,,,,,,
D9,,5,,0,0,0,0,0,1,0,,,,,,,,,,,"		FLDCW",,,0,0,?,0,1,"	m16",,,,,,,,,,,,
D9,,5,E8,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,
D9,,5,E9,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,
D9,,5,EA,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,
D9,,5,EB,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,
D9,,5,EC,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,
D9,,5,ED,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,
D9,,5,EE,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,
D9,,6,,0,0,0,0,0,1,0,,,,,,,,,,,FNSTENV,,FSTENV,,,,,1,,,,,,,,,,,,,
D9,,6,F0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
D9,,6,F1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
D9,,6,F2,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
D9,,6,F3,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
D9,,6,F4,0,0,0,0,0,1,0,,,,,,,,,,,"		FLDCW",,,0,0,0,0,1,,,,,,,,,,,,,
D9,,6,F5,0,0,0,0,0,1,0,,,,,,,,,,,"		FLDCW",,,0,0,0,0,1,,,,,,,,,,,,,
D9,,6,F6,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
D9,,6,F7,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
D9,,7,,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
D9,,7,F0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
D9,,7,F1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
D9,,7,F2,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
D9,,7,F3,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
D9,,7,F4,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
D9,,7,F5,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
D9,,7,F6,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
D9,,7,F7,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
D9,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DA,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DB,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DC,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DD,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DE,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
DF,,,,0,0,,,0,1,0,1,0,0,0,0,0,0,0,,,ESC,,,0,0,1,1,1,,,,,,,,,,,,,FPU Instruction
E0,,,,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,,LOOPNE,,LOOPNZ,0,0,0,0,0,CX,rel8,,CX,Jbs,,....z...,,,,,,Decrement count; Jump short if count!=0 and ZF=0
E1,,,,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,,LOOPE,,LOOPZ,0,0,0,0,0,CX,rel8,,CX,Jbs,,....z...,,,,,,Decrement count; Jump short if count!=0 and ZF=1
E2,,,,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,,LOOP,,,0,0,0,0,0,CX,rel8,,CX,Jbs,,,,,,,,Decrement count; Jump short if count!=0
E3,,,,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,,JCXZ,JECXZ,,0,0,0,0,0,rel8,CX,,Jbs,CX,,,,,,,,Jump short if CX register is 0
E4,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,w,,IN,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,,,,,,Input from Port
E5,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,W,,IN,,,0,0,0,0,0,AX,imm8,,AX,Ib,,,,,,,,Input from Port
E5,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,W,,IN,,,0,0,0,0,0,EAX,imm8,,EAX,Ib,,,,,,,,Input from Port
E6,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,w,,OUT,,,0,0,0,0,0,imm8,AL,,Ib,AL,,,,,,,,Output to Port
E7,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,W,,OUT,,,0,0,0,0,0,imm8,AX,,Ib,AX,,,,,,,,Output to Port
E7,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,W,,OUT,,,0,0,0,0,0,imm8,EAX,,Ib,EAX,,,,,,,,Output to Port
E8,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,CALL,,,0,0,0,0,0,rel16/32,,,Jvds,,,,,,,,,Call Procedure
E9,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,JMP,,,0,0,0,0,0,rel16/32,,,Jvds,,,,,,,,,Jump
EA,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,JMPF,,,0,0,0,0,0,ptr16:16/32,,,Ap,,,,,,,,,Jump
EB,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,JMP,,,0,0,0,0,0,rel8,,,Jbs,,,,,,,,,Jump
EC,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,w,,IN,,,0,0,0,0,0,AL,DX,,AL,DX,,,,,,,,Input from Port
ED,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,W,,IN,,,0,0,0,0,0,eAX,DX,,eAX,DX,,,,,,,,Input from Port
EE,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,w,,OUT,,,0,0,0,0,0,DX,AL,,DX,AL,,,,,,,,Output to Port
EF,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,W,,OUT,,,0,0,0,0,0,DX,eAX,,DX,eAX,,,,,,,,Output to Port
F0,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,,LOCK,,,0,0,0,0,0,,,,,,,,,,,,,Assert LOCK# Signal Prefix
F1,,,,0,0,0,0,1,0,0,,,,,,,1,0,,,INT1,,ICEBP,0,0,1,1,1,,,,,,,,,,,,1,ICE Breakpoint / Int 1
F2,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,,REPNZ,,REPNE,0,0,0,0,0,,,,CX,,,....z...,,,,,,Repeat String Operation Prefix
F3,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,,REPZ,,REPE,0,0,0,0,0,,,,CX,,,....z...,,,,,,Repeat String Operation Prefix
F4,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,HLT,,,0,0,0,0,0,,,,,,,,,,,,,Halt
F5,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,CMC,,,0,0,0,0,0,,,,,,,.......c,.......c,.......c,,,,Complement Carry Flag
F6,3,0,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,TEST,,,0,0,1,1,1,r/m8,imm8,,Eb,Ib,,,o..sz.pc,o..sz.pc,.....a..,o......c,,Logical Compare
F6,3,1,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,TEST,,,0,0,1,1,1,r/m8,imm8,,Eb,Ib,,,o..sz.pc,o..sz.pc,.....a..,o......c,,Logical Compare
F6,3,2,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,NOT,,,1,0,1,1,1,r/m8,,,Eb,,,,,,,,,One's Complement Negation
F6,3,3,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,NEG,,,1,0,1,1,1,r/m8,,,Eb,,,,o..szapc,o..szapc,,,,Two's Complement Negation
F6,3,4,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,MUL,,,0,0,1,1,1,r/m8,,,AX,AL,Eb,,o..sz.pc,o......c,...szap.,,,Unsigned Multiply
F6,3,5,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,IMUL,,,0,0,1,1,1,r/m8,,,AX,AL,Eb,,o..sz.pc,o......c,...szap.,,,Signed Multiply
F6,3,6,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,DIV,,,0,0,1,1,1,r/m8,,,AL,AH,AX,,o..szapc,,o..szapc,,0,Unsigned Divide
F6,3,7,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,IDIV,,,0,0,1,1,1,r/m8,,,AL,AH,AX,,o..szapc,,o..szapc,,0,Signed Divide
F7,3,0,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,TEST,,,0,0,1,1,1,r/m16/32,imm16,,Evqp,Ivds,,,o..sz.pc,o..sz.pc,.....a..,o......c,,Logical Compare
F7,3,1,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,TEST,,,0,0,1,1,1,r/m16/32,imm16,,Evqp,Ivds,,,o..sz.pc,o..sz.pc,.....a..,o......c,,Logical Compare
F7,3,2,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,NOT,,,1,0,1,1,1,r/m16/32,,,Evqp,,,,,,,,,One's Complement Negation
F7,3,3,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,NEG,,,1,0,1,1,1,r/m16/32,,,Evqp,,,,o..szapc,o..szapc,,,,Two's Complement Negation
F7,3,4,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,MUL,,,0,0,1,1,1,r/m16/32,,,DX,AX,Evqp,,o..sz.pc,o......c,...szap.,,,Unsigned Multiply
F7,3,5,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,IMUL,,,0,0,1,1,1,r/m16/32,,,DX,AX,Evqp,,o..sz.pc,o......c,...szap.,,,Signed Multiply
F7,3,6,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,DIV,,,0,0,1,1,1,r/m16/32,,,DX,AX,Evqp,,o..szapc,,o..szapc,,0,Unsigned Divide
F7,3,7,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,IDIV,,,0,0,1,1,1,r/m16/32,,,DX,AX,Evqp,,o..szapc,,o..szapc,,0,Signed Divide
F8,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,CLC,,,0,0,0,0,0,,,,,,,,.......c,.......c,,.......c,,Clear Carry Flag
F9,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,STC,,,0,0,0,0,0,,,,,,,,.......c,.......c,,.......C,,Set Carry Flag
FA,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,CLI,,,0,0,0,0,0,,,,,,,,..i.....,..i.....,,..i.....,,Clear Interrupt Flag
FB,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,STI,,,0,0,0,0,0,,,,,,,,..i.....,..i.....,,..I.....,,Set Interrupt Flag
FC,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,CLD,,,0,0,0,0,0,,,,,,,,.d......,.d......,,.d......,,Clear Direction Flag
FD,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,STD,,,0,0,0,0,0,,,,,,,,.d......,.d......,,.D......,,Set Direction Flag
FE,4,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,w,,INC,,,1,0,1,1,1,r/m8,,,Eb,,,,o..szap.,o..szap.,,,,Increment by 1
FE,4,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,w,,DEC,,,1,0,1,1,1,r/m8,,,Eb,,,,o..szap.,o..szap.,,,,Decrement by 1
FE,4,2,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Undefined
FE,4,3,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Undefined
FE,4,4,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Undefined
FE,4,5,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Undefined
FE,4,6,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Undefined
FE,4,7,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Undefined
FF,5,0,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,W,,INC,,,1,0,1,1,1,r/m16/32,,,Evqp,,,,o..szap.,o..szap.,,,,Increment by 1
FF,5,1,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,W,,DEC,,,1,0,1,1,1,r/m16/32,,,Evqp,,,,o..szap.,o..szap.,,,,Decrement by 1
FF,5,2,,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,W,,CALL,,,0,0,1,1,1,r/m16/32,,,Ev,,,,,,,,,Call Procedure
FF,5,3,,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,W,,CALLF,,,0,0,1,0,1,r/m16/32,,,Mptp,,,,,,,,,Call Procedure
FF,5,4,,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,W,,JMP,,,0,0,1,1,1,r/m16/32,,,Ev,,,,,,,,,Jump
FF,5,5,,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,W,,JMPF,,,0,0,1,0,1,r/m16/32,,,Mptp,,,,,,,,,Jump
FF,5,6,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,W,,PUSH,,,0,0,1,1,1,r/m16/32,,,Ev,,,,,,,,,Push Word onto the Stack
FF,5,7,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6,Undefined
0F00,6,0,,0,0,,,0,0,0,,,,,,,,0,,,SLDT,,,0,0,1,1,1,r/m16,LDTR,,,,,,,,,,,Store Local Descriptor Table Register
0F00,6,1,,0,0,,,0,0,0,,,,,,,,0,,,STR,,,0,0,1,1,1,r/m16,TR,,,,,,,,,,,Store Task Register
0F00,6,2,,0,0,,,0,0,0,,,,,,,,0,,,LLDT,,,0,0,1,1,1,LDTR,r/m16,,,,,,,,,,,Load Local Descriptor Table Register
0F00,6,3,,0,0,,,0,0,0,,,,,,,,0,,,LTR,,,0,0,1,1,1,TR,r/m16,,,,,,,,,,,Load Task Register
0F00,6,4,,0,0,,,0,0,0,,,,,,,,0,,,VERR,,,0,0,1,1,1,r/m16,,,,,,,....z...,,,,,Verify a Segment for Reading
0F00,6,5,,0,0,,,0,0,0,,,,,,,,0,,,VERW,,,0,0,1,1,1,r/m16,,,,,,,....z...,,,,,Verify a Segment for Writing
0F00,6,6,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6,Undefined
0F00,6,7,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6,Undefined
0F01,7,0,,0,0,,,0,0,1,,,,,,,,0,,,SGDT,,,0,0,1,0,1,m,GDTR,,,,,,,,,,,Store Global Descriptor Table Register
0F01,7,1,,0,0,,,0,0,0,,,,,,,,0,,,SIDT,,,0,0,1,0,1,m,IDTR,,,,,,,,,,,Store Interrupt Descriptor Table Register
0F01,7,2,,0,0,,,0,0,0,,,,,,,,0,,,LGDT,,,0,0,1,0,1,GDTR,m,,,,,,,,,,,Load Global Descriptor Table Register
0F01,7,3,,0,0,,,0,0,0,,,,,,,,0,,,LIDT,,,0,0,1,0,1,IDTR,m,,,,,,,,,,,Load Interrupt Descriptor Table Register
0F01,7,4,,0,0,,,0,0,0,,,,,,,,0,,,SMSW,,,0,0,1,1,1,r/m16/32,MSW,,,,,,,,,,,Store Machine Status Word
0F01,7,5,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,6,Undefined
0F01,7,6,,0,0,,,0,0,0,,,,,,,,0,,,LMSW,,,0,0,1,1,1,MSW,r/m16,,,,,,,,,,,Load Machine Status Word
0F01,7,7,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,6,Undefined
0F02,,,,0,0,1,1,0,0,1,,,,,,,,0,,,LAR,,,0,0,1,1,1,r16,r/m16,,,,,,,,,,,Load Access Rights Byte
0F03,,,,0,0,1,1,0,0,1,,,,,,,,0,,,LSL,,,0,0,1,1,1,r16,r/m16,,,,,,,,,,,Load Segment Limit
0F04,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
0F05,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Load All Registers 286 (Undefined on 386)
0F06,,,,0,0,0,0,0,0,0,,,,,,,,0,,,CLTS,,,0,0,0,0,0,CR0,,,,,,,,,,,,Clear Task-Switched Flag in CR0
0F07,,,,0,0,0,1,1,0,0,,,,,,,,0,,,LOADALL,,,0,0,0,0,0,,,,,,,,,,,,,Load All Registers (386)
0F20,,,,0,0,0,0,0,0,0,,,,,,,,0,,,MOV,,,0,0,0,0,0,r32,CRn,,,,,,,,,,,Move to/from Control Registers
0F21,,,,0,0,0,0,0,0,0,,,,,,,,0,,,MOV,,,0,0,0,0,0,r32,DRn,,,,,,,,,,,Move to/from Debug Registers
0F22,,,,0,0,0,0,0,0,0,,,,,,,,0,,,MOV,,,0,0,0,0,0,CRn,r32,,,,,,,,,,,Move to/from Control Registers
0F23,,,,0,0,0,0,0,0,0,,,,,,,,0,,,MOV,,,0,0,0,0,0,DRn,r32,,,,,,,,,,,Move to/from Debug Registers
0F80,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JO,,,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if overflow (OF=1)
0F81,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JNO,,,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if not overflow (OF=0)
0F82,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JB,,"JNAE,JC",0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if below/not above or equal/carry (CF=1)
0F83,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JNB,,"JAE,JNC",0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if not below/above or equal/not carry (CF=0)
0F84,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JZ,,JE,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if zero/equal (ZF=1)
0F85,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JNZ,,JNE,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if not zero/not equal (ZF=0)
0F86,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JBE,,JNA,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if below or equal/not above (CF=1 OR ZF=1)
0F87,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JNBE,,JA,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if not below or equal/above (CF=0 AND ZF=0)
0F88,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JS,,,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if sign (SF=1)
0F89,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JNS,,,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if not sign (SF=0)
0F8A,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JP,,JPE,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if parity/parity even (PF=1)
0F8B,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JNP,,JPO,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if not parity/parity odd (PF=0)
0F8C,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JL,,JNGE,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if less/not greater (SF!=OF)
0F8D,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JNL,,JGE,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if not less/greater or equal (SF=OF)
0F8E,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JLE,,JNGE,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if less or equal/not greater ((ZF=1) OR (SF!=OF))
0F8F,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,JNLE,,JG,0,0,0,0,0,rel16/32,,,,,,,,,,,,Jump short if not less nor equal/greater ((ZF=0) AND (SF=OF))
0F90,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETO,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - overflow (OF=1)
0F91,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETNO,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - not overflow (OF=0)
