op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
A1,,,,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,W,,MOV,,,0,0,1,0,0,AX,offset16/32,,AX,Ovqp,,,,,,,,Move *Only instructions to use Offset operand type
A2,,,,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,w,,MOV,,,0,0,1,0,0,offset8,AL,,Ob,AL,,,,,,,,Move *Only instructions to use Offset operand type
A3,,,,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,W,,MOV,,,0,0,1,0,0,offset16/32,AX,,Ovqp,AX,,,,,,,,Move *Only instructions to use Offset operand type
A4,,,,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,w,,MOVSB,,,0,1,1,0,0,m8,,,Yb,Xb,,.d......,,,,,,Move Data from String to String
A5,,,,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,W,,MOVSW,MOVSD,,0,1,1,0,0,,,,Ywo,Xwo,,.d......,,,,,,Move Data from String to String
A6,,,,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,w,,CMPSB,,,0,1,1,0,0,,,,Yb,Xb,,.d......,o..szapc,o..szapc,,,,Compare String Operands
A7,,,,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,W,,CMPSW,CMPSD,,0,1,1,0,0,,,,Ywo,Xwo,,.d......,o..szapc,o..szapc,,,,Compare String Operands
A8,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,TEST,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..sz.pc,o..sz.pc,.....a..,o....a.c,,Logical Compare
A9,,,,0,0,,0,0,0,0,1,0,1,0,0,1,1,0,W,,TEST,,,0,0,0,0,0,eAX,imm16/32,,AX,Ivds,,,o..sz.pc,o..sz.pc,.....a..,o....a.c,,Logical Compare
AA,,,,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,w,,STOSB,,,0,1,0,0,0,,,,Yb,AL,,.d......,,,,,,Store String
AB,,,,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,W,,STOSW,STOSD,,0,1,0,0,0,,,,Ywo,AX,,.d......,,,,,,Store String
AC,,,,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,w,,LODSB,,,0,1,1,0,0,,,,AL,Xb,,.d......,,,,,,Load String
AD,,,,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,W,,LODSW,LODSD,,0,1,1,0,0,,,,AX,Xwo,,.d......,,,,,,Load String
AE,,,,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,w,,SCASB,,,0,1,0,0,0,,,,Yb,AL,,.d......,o..szapc,o..szapc,,,,Scan String
AF,,,,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,W,,SCASW,SCASD,,0,1,0,0,0,,,,Ywo,AX,,.d......,o..szapc,o..szapc,,,,Scan String
B0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r8,imm8,,Zb,Ib,,,,,,,,Move
B1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r8,imm8,,Zb,Ib,,,,,,,,Move
B2,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r8,imm8,,Zb,Ib,,,,,,,,Move
B3,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r8,imm8,,Zb,Ib,,,,,,,,Move
B4,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r8,imm8,,Zb,Ib,,,,,,,,Move
B5,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r8,imm8,,Zb,Ib,,,,,,,,Move
B6,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r8,imm8,,Zb,Ib,,,,,,,,Move
B7,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r8,imm8,,Zb,Ib,,,,,,,,Move
B8,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r16/32,imm16/32,,Zvqp,Ivqp,,,,,,,,Move
B9,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r16/32,imm16/32,,Zvqp,Ivqp,,,,,,,,Move
